ts,datetime,key,value
1662095721602,2022/09/02 01:15:21,pressure,1032.1
1662095716530,2022/09/02 01:15:16,pressure,1032.1
1662095709875,2022/09/02 01:15:09,pressure,1032.1
1662095704866,2022/09/02 01:15:04,pressure,1032
1662095697387,2022/09/02 01:14:57,pressure,1032.1
1662095693298,2022/09/02 01:14:53,pressure,1032.2
1662095671306,2022/09/02 01:14:31,pressure,1032
1662095665464,2022/09/02 01:14:25,pressure,1032.1
1662095659217,2022/09/02 01:14:19,pressure,1032.1
1662095653560,2022/09/02 01:14:13,pressure,1032.1
1662095646357,2022/09/02 01:14:06,pressure,1032.1
1662095641906,2022/09/02 01:14:01,pressure,1032.1
1662095637840,2022/09/02 01:13:57,pressure,1032.1
1662095631927,2022/09/02 01:13:51,pressure,1032.1
1662095624207,2022/09/02 01:13:44,pressure,1032.1
1662095619051,2022/09/02 01:13:39,pressure,1032.1
1662095613866,2022/09/02 01:13:33,pressure,1032.1
1662095608602,2022/09/02 01:13:28,pressure,1032.1
1662095603715,2022/09/02 01:13:23,pressure,1032.1
1662095596120,2022/09/02 01:13:16,pressure,1032.1
1662095568114,2022/09/02 01:12:48,pressure,1032.1
1662095554840,2022/09/02 01:12:34,pressure,1032.1
1662095548344,2022/09/02 01:12:28,pressure,1032.1
1662095526582,2022/09/02 01:12:06,pressure,1031.9
1662095512450,2022/09/02 01:11:52,pressure,1032.1
1662095505914,2022/09/02 01:11:45,pressure,1032.1
1662095497431,2022/09/02 01:11:37,pressure,1032
1662095492431,2022/09/02 01:11:32,pressure,1032.1
1662095485373,2022/09/02 01:11:25,pressure,1032.1
1662095481709,2022/09/02 01:11:21,pressure,1032.2
1662095453936,2022/09/02 01:10:53,pressure,1032
1662095448458,2022/09/02 01:10:48,pressure,1032
1662095441778,2022/09/02 01:10:41,pressure,1032
1662095427654,2022/09/02 01:10:27,pressure,1032.2
1662095413639,2022/09/02 01:10:13,pressure,1031.9
1662095406412,2022/09/02 01:10:06,pressure,1032
1662095385875,2022/09/02 01:09:45,pressure,1032.1
1662095378798,2022/09/02 01:09:38,pressure,1032.1
1662095359653,2022/09/02 01:09:19,pressure,1032.1
1662095352033,2022/09/02 01:09:12,pressure,1031.9
1662095347741,2022/09/02 01:09:07,pressure,1032.1
1662095340862,2022/09/02 01:09:00,pressure,1032
1662095326340,2022/09/02 01:08:46,pressure,1032.1
1662095318860,2022/09/02 01:08:38,pressure,1032.1
1662095304797,2022/09/02 01:08:24,pressure,1032.1
1662095290738,2022/09/02 01:08:10,pressure,1031.9
1662095283650,2022/09/02 01:08:03,pressure,1032.1
1662095278645,2022/09/02 01:07:58,pressure,1032
1662095271488,2022/09/02 01:07:51,pressure,1032
1662095257731,2022/09/02 01:07:37,pressure,1032.2
1662095250670,2022/09/02 01:07:30,pressure,1032
1662095245451,2022/09/02 01:07:25,pressure,1032
1662095233052,2022/09/02 01:07:13,pressure,1032
1662095227428,2022/09/02 01:07:07,pressure,1032
1662095220851,2022/09/02 01:07:00,pressure,1032.1
1662095213632,2022/09/02 01:06:53,pressure,1032
1662095207443,2022/09/02 01:06:47,pressure,1032.1
1662095194307,2022/09/02 01:06:34,pressure,1032
1662095189169,2022/09/02 01:06:29,pressure,1032.1
1662095183848,2022/09/02 01:06:23,pressure,1032
1662095149821,2022/09/02 01:05:49,pressure,1032.1
1662095142600,2022/09/02 01:05:42,pressure,1032.1
1662095138371,2022/09/02 01:05:38,pressure,1032.2
1662095133591,2022/09/02 01:05:33,pressure,1032.2
1662095126821,2022/09/02 01:05:26,pressure,1032.1
1662095121652,2022/09/02 01:05:21,pressure,1032.1
1662095114109,2022/09/02 01:05:14,pressure,1032.1
1662095110746,2022/09/02 01:05:10,pressure,1032
1662095994453,2022/09/02 01:19:54,rainfallDay10mm,5
1662095984642,2022/09/02 01:19:44,rainfallDay10mm,5
1662095977049,2022/09/02 01:19:37,rainfallDay10mm,5
1662095972687,2022/09/02 01:19:32,rainfallDay10mm,5
1662095964223,2022/09/02 01:19:24,rainfallDay10mm,5
1662095958572,2022/09/02 01:19:18,rainfallDay10mm,5
1662095951923,2022/09/02 01:19:11,rainfallDay10mm,5
1662095946576,2022/09/02 01:19:06,rainfallDay10mm,5
1662095938130,2022/09/02 01:18:58,rainfallDay10mm,5
1662095931516,2022/09/02 01:18:51,rainfallDay10mm,5
1662095924968,2022/09/02 01:18:44,rainfallDay10mm,5
1662095917389,2022/09/02 01:18:37,rainfallDay10mm,5
1662095904388,2022/09/02 01:18:24,rainfallDay10mm,5
1662095899794,2022/09/02 01:18:19,rainfallDay10mm,5
1662095892291,2022/09/02 01:18:12,rainfallDay10mm,5
1662095879532,2022/09/02 01:17:59,rainfallDay10mm,5
1662095865284,2022/09/02 01:17:45,rainfallDay10mm,5
1662095859672,2022/09/02 01:17:39,rainfallDay10mm,5
1662095847605,2022/09/02 01:17:27,rainfallDay10mm,5
1662095835547,2022/09/02 01:17:15,rainfallDay10mm,5
1662095827058,2022/09/02 01:17:07,rainfallDay10mm,5
1662095820425,2022/09/02 01:17:00,rainfallDay10mm,5
1662095813969,2022/09/02 01:16:53,rainfallDay10mm,5
1662095806331,2022/09/02 01:16:46,rainfallDay10mm,5
1662095800723,2022/09/02 01:16:40,rainfallDay10mm,5
